"","animal.ID","age.years","age.class","Sex","BCS.Average","elevation","CAA.Estimate","Result","x.east","y.south"
"94",98,0.67,"Calf","Female",4.25,544.506591796875,NA,"negative",321452.97678196,7222565.04762702
"95",99,1,"Calf","Female",4,544.506591796875,856,"positive",321406.553444367,7222566.65438494
"96",100,2,"Subadult","Male",4,330.71240234375,67,"positive",355000.710880239,7215737.31675433
"97",101,15,"Adult","Female",4.5,330.71240234375,13,"negative",355000.710880239,7215737.31675433
"98",102,7.6,"Adult","Female",4.25,330.71240234375,317,"positive",355000.710880239,7215737.31675433
"99",103,2,"Subadult","Male",3.5,330.71240234375,92,"positive",355000.710880239,7215737.31675433
"100",104,1,"Calf","Female",4.25,330.71240234375,122,"positive",355000.710880239,7215737.31675433
"101",105,2.5,"Subadult","Female",4.25,330.71240234375,840,"positive",355000.710880239,7215737.31675433
"102",106,16.9,"Oldadult","Female",3,330.71240234375,139,"positive",355000.710880239,7215737.31675433
"103",107,1.75,"Subadult","Male",4.25,330.71240234375,11612,"positive",355000.710880239,7215737.31675433
"104",108,1,"Calf","Male",3.5,330.71240234375,20,"negative",355000.710880239,7215737.31675433
"105",109,2,"Subadult","Female",4.25,330.71240234375,516,"positive",355000.710880239,7215737.31675433
"106",110,2.5,"Subadult","Female",3.75,330.71240234375,14,"negative",355000.710880239,7215737.31675433
"107",111,1.5,"Subadult","Female",4,330.71240234375,45,"positive",355000.710880239,7215737.31675433
"108",112,2,"Subadult","Female",3.25,370.539123535156,NA,"negative",341620.716733931,7228717.6106346
"109",113,1.5,"Subadult","Male",4.75,370.539123535156,NA,"negative",341620.716733931,7228717.6106346
"110",114,1.5,"Subadult","Female",4.75,370.539123535156,85,"positive",341620.716733931,7228717.6106346
"111",115,1.25,"Calf","Male",4.25,370.539123535156,4819,"positive",341620.716733931,7228717.6106346
"112",116,1.25,"Subadult","Female",4.5,370.539123535156,31,"positive",341620.716733931,7228717.6106346
"113",117,1,"Calf","Male",3.75,370.539123535156,NA,"negative",341620.716733931,7228717.6106346
"114",118,2.25,"Subadult","Female",4.25,370.539123535156,11,"negative",341620.716733931,7228717.6106346
"115",119,1,"Calf","Male",4,370.539123535156,16,"negative",341620.716733931,7228717.6106346
"116",120,1,"Calf","Male",4.5,361.445983886719,223,"positive",365807.601052234,7213603.31451408
"117",121,0.66,"Calf","Female",4.25,361.445983886719,5458,"positive",365807.601052234,7213603.31451408
"118",122,3.5,"Subadult","Female",4.75,237.336395263672,8,"negative",390027.532488754,7205786.25258633
"119",123,1.25,"Subadult","Male",3.75,237.336395263672,NA,"negative",390027.532488754,7205786.25258633
"120",124,0.83,"Calf","Male",3.75,237.336395263672,NA,"negative",390027.532488754,7205786.25258633
"121",125,1,"Calf","Female",3.25,237.336395263672,40,"positive",390027.532488754,7205786.25258633
"122",126,9.5,"Adult","Male",5,237.336395263672,NA,"negative",390027.532488754,7205786.25258633
