animal.ID,T/C Ratio,CAA Estimate,Result,age.years,age.class,Sex,Section,BCS.Average
270,0.012,15,negative,4.5,Adult,Female,Satara,4.25
271,0.015,25,negative,1.25,Subadult,Male,Satara,4
272,0.017,36,positive,1.25,Subadult,Female,Satara,3.5
273,0.011,1,negative,6.9,Adult,Female,Satara,4.5
274,0.01,0,negative,NA,NA,NA,NA,NA
275,0.01,0,negative,2,Subadult,Male,Letaba,4
276,0.019,15,negative,1.5,Subadult,Male,Letaba,4.25
277,0.007,NA,negative,1.5,Subadult,Male,Letaba,4.25
278,0.009,NA,negative,1.75,Subadult,Female,Letaba,4.5
279,0.005,NA,negative,1.25,Subadult,Male,Letaba,4
280,0.009,NA,negative,1.75,Subadult,Female,Letaba,4
281,0.014,6,negative,1.25,Subadult,Male,Letaba,4
282,0.004,NA,negative,1.5,Subadult,Male,Letaba,4
283,0.007,NA,negative,1.5,Subadult,Female,Letaba,3.75
284,0.01,1,negative,2,Subadult,Female,Letaba,4.25
285,0.01,0,negative,2,Calf,Female,Letaba,4
286,0.007,NA,negative,1.5,Subadult,Female,Letaba,4
287,0.023,22,negative,1.5,Subadult,Female,Letaba,3.5
288,0.005,NA,negative,1.5,Subadult,Male,Letaba,3.5
289,0.006,NA,negative,1.25,Subadult,Female,Letaba,4.25
290,0.015,8,negative,1.25,Subadult,Male,Letaba,3.75
291,0.008,NA,negative,1.5,Subadult,Female,Letaba,4
292,0.009,NA,negative,1.25,Subadult,Female,Letaba,4.25
293,0.01,1,negative,2.5,Subadult,Female,Letaba,4
294,0.007,NA,negative,1,Calf,Male,Mahlangeni,3.75
295,0.005,NA,negative,1.25,Subadult,Female,Mahlangeni,4.25
296,0.01,0,negative,1.25,Subadult,Female,Mahlangeni,4.5
297,0.009,NA,negative,2,Subadult,Female,Mahlangeni,4.25
299,0.01,1,negative,1,Subadult,Female,Mahlangeni,3.75
300,0.009,NA,negative,1,Calf,Female,Mahlangeni,4
301,0.011,1,negative,1.5,Subadult,Male,Mahlangeni,4
302,0.012,3,negative,1.25,Subadult,Male,Mahlangeni,4
303,0.005,NA,negative,1.25,Subadult,Female,Mahlangeni,3
304,0.014,6,negative,2,Subadult,Female,Mahlangeni,4
305,4.056,10975,positive,1,Subadult,Female,Phalaborwa,4
306,0.007,NA,negative,1.5,Subadult,Female,Phalaborwa,4.5
307,0.008,NA,negative,1,Subadult,Female,Phalaborwa,4.25
308,0.018,14,negative,1.25,Subadult,Male,Phalaborwa,4
309,0.011,1,negative,1.75,Subadult,Female,Phalaborwa,5
310,0.008,NA,negative,1,Subadult,Male,Phalaborwa,4.25
311,0.009,NA,negative,1.25,Subadult,Male,Phalaborwa,4.25
312,0.444,957,positive,1.25,Subadult,Female,Phalaborwa,4.5
313,0.008,NA,negative,NA,NA,NA,NA,NA
314,0.009,NA,negative,1.75,Subadult,Male,Phalaborwa,4.75
315,0.009,NA,negative,1.25,Subadult,Female,Phalaborwa,4.5
316,0.008,NA,negative,2,Subadult,Male,Phalaborwa,4.5
317,0.007,NA,negative,1,Subadult,Female,Phalaborwa,4
318,0.011,3,negative,1.25,Subadult,Female,Phalaborwa,4.25
319,0.01,0,negative,1,Calf,Female,Phalaborwa,4.75
320,0.005,NA,negative,1.25,Subadult,Male,Phalaborwa,3.75
321,0.011,2,negative,1.25,Subadult,Female,Phalaborwa,3.5
322,0.084,140,positive,1.25,Subadult,Female,Phalaborwa,4
323,0.028,30,negative,1.25,Subadult,Female,Phalaborwa,4.25
324,0.008,NA,negative,2.5,Subadult,Female,Phalaborwa,4.5
325,0.011,2,negative,1.5,Adult,Male,Phalaborwa,4.5
326,0.011,2,negative,5,Adult,Female,Mooiplaas,4.25
327,0.004,NA,negative,11.91,Subadult,Female,Mooiplaas,3.25
328,0.012,3,negative,1.5,Subadult,Female,Mooiplaas,4.5
329,0.01,0,negative,1.75,Subadult,Male,Mooiplaas,4
330,0.01,0,negative,1,Calf,Female,Mooiplaas,4.25
331,0.006,NA,negative,1.25,Subadult,Male,Mooiplaas,4.5
332,0.007,NA,negative,1.25,Subadult,Male,Mooiplaas,4
333,0.009,NA,negative,20.27,Adult,Female,Mooiplaas,4
334,0.011,1,negative,1.25,Subadult,Female,Mooiplaas,4
335,0.008,NA,negative,1.5,Subadult,Female,Mooiplaas,4.5
336,0.011,3,negative,1.25,Subadult,Male,Mooiplaas,3.5
337,0.008,NA,negative,1.75,Subadult,Male,Mooiplaas,3.75
338,0.018,12,negative,1.5,Subadult,Male,Mooiplaas,3.5
339,0.005,NA,negative,7.52,Adult,Female,Mooiplaas,4.25
340,0.018,13,negative,6.09,Adult,Female,Mooiplaas,4.25
341,0.01,1,negative,9.19,Adult,Female,Mooiplaas,3.5
342,0.007,NA,negative,1.5,Subadult,Female,Mooiplaas,4.25
343,0.007,NA,negative,1.25,Subadult,Female,Mooiplaas,4.25
344,0.033,39,positive,1.25,Subadult,Male,Mooiplaas,4.5
345,0.008,NA,negative,1,Calf,Female,Mooiplaas,4
346,0.009,NA,negative,1.25,Subadult,Female,Mooiplaas,4.25
347,0.007,NA,negative,3.5,Subadult,Female,Mooiplaas,4.5
348,0.012,3,negative,11.81,Adult,Female,Mooiplaas,4.5
349,0.011,1,negative,10.41,Adult,Female,Mooiplaas,4.25
350,0.011,2,negative,4,Subadult,Female,Mooiplaas,4.75
351,0.016,10,negative,2.5,Subadult,Female,Mooiplaas,4.25
352,0.01,0,negative,2,Subadult,Female,Mooiplaas,4.25
353,0.009,NA,negative,9.46,Adult,Female,Mooiplaas,4.75
354,0.008,NA,negative,6.65,Adult,Female,Mooiplaas,5
355,0.007,NA,negative,8.86,Adult,Female,Mooiplaas,4.75
356,0.008,NA,negative,9.79,Adult,Female,Mooiplaas,5
357,0.006,NA,negative,1.25,Subadult,Female,Mooiplaas,4.75
358,0.009,NA,negative,1.25,Subadult,Male,Mooiplaas,4.5
359,0.008,NA,negative,1.25,Subadult,Female,Mooiplaas,4
360,0.01,1,negative,NA,NA,NA,NA,NA
361,0.025,26,negative,NA,NA,NA,NA,NA
362,0.013,4,negative,10.49,Adult,Female,Mooiplaas,4.5
363,0.008,NA,negative,1.75,Subadult,Male,Mooiplaas,4.25
364,0.011,NA,negative,1.25,Subadult,Male,Mooiplaas,4.5
365,0.017,6,negative,1.75,Subadult,Male,Mooiplaas,4
366,0.011,NA,negative,3,Subadult,Male,Mooiplaas,4.5
