d.vec,Cor.M,Model
133.013301330133,0.993786799496456,log_CAA
134.013401340134,0.993706753137157,log_CAA
135.013501350135,0.993626311593286,log_CAA
136.013601360136,0.993545476362473,log_CAA
137.013701370137,0.993464248930966,log_CAA
138.013801380138,0.993382630773807,log_CAA
139.013901390139,0.993300623354981,log_CAA
140.01400140014,0.993218228127587,log_CAA
141.014101410141,0.993135446533983,log_CAA
142.014201420142,0.993052280005941,log_CAA
143.014301430143,0.992968729964796,log_CAA
144.014401440144,0.992884797821591,log_CAA
145.014501450145,0.992800484977218,log_CAA
146.014601460146,0.992715792822557,log_CAA
147.014701470147,0.992630722738613,log_CAA
148.014801480148,0.99254527609665,log_CAA
149.014901490149,0.992459454258322,log_CAA
150.01500150015,0.992373258575799,log_CAA
151.015101510151,0.992286690391894,log_CAA
