x,y,value,Group,Fill
338773.853752955,7173998.12694187,0.00271430408964383,1,0
339206.606290808,7173998.12694187,0.002733291681487,1,0
339639.358828662,7173998.12694187,0.00275227927333017,1,0
340072.111366515,7173998.12694187,0.00277126686517335,1,0
340504.863904368,7173998.12694187,0.00279025445701652,1,0
340937.616442221,7173998.12694187,0.00281102558350562,1,0
341370.368980075,7173998.12694187,0.00283234214625659,1,0
341803.121517928,7173998.12694187,0.00284534148156455,1,0
342235.874055781,7173998.12694187,0.00285834081687251,1,0
342668.626593634,7173998.12694187,0.00287134015218048,1,0
343101.379131487,7173998.12694187,0.00288433948748844,1,0.003
343534.131669341,7173998.12694187,0.00289814328991889,1,0.003
343966.884207194,7173998.12694187,0.00291277407730522,1,0.003
344399.636745047,7173998.12694187,0.00292740486469155,1,0.003
344832.389282901,7173998.12694187,0.00294203565207788,1,0.003
345265.141820754,7173998.12694187,0.0029566664394642,1,0.003
345697.894358607,7173998.12694187,0.00297129722685053,1,0.003
346130.64689646,7173998.12694187,0.00298592801423685,1,0.003
346563.399434314,7173998.12694187,0.00300055880162318,1,0.003
346996.151972167,7173998.12694187,0.00301518958900951,1,0.003
347428.90451002,7173998.12694187,0.00301737487282745,1,0.003
347861.657047873,7173998.12694187,0.0030172623423396,1,0.003
348294.409585726,7173998.12694187,0.00301714981185175,1,0.003
348727.16212358,7173998.12694187,0.00301703728136391,1,0.003
349159.914661433,7173998.12694187,0.00301692475087606,1,0.003
349592.667199286,7173998.12694187,0.00301681222038821,1,0.003
350025.41973714,7173998.12694187,0.00301669968990036,1,0.003
350458.172274993,7173998.12694187,0.00301658715941251,1,0.003
350890.924812846,7173998.12694187,0.00301647462892466,1,0.003
351323.677350699,7173998.12694187,0.00301636209843681,1,0.003
351756.429888552,7173998.12694187,0.00301624956794897,1,0.003
352189.182426406,7173998.12694187,0.00300277102547403,1,0.003
352621.934964259,7173998.12694187,0.00298841887221104,1,0.003
353054.687502112,7173998.12694187,0.00297406671894805,1,0.003
353487.440039965,7173998.12694187,0.00295787387698793,1,0.003
353920.192577819,7173998.12694187,0.00293063241908941,1,0.003
354352.945115672,7173998.12694187,0.00290339096119088,1,0.003
354785.697653525,7173998.12694187,0.00287614950329235,1,0
355218.450191378,7173998.12694187,0.00284890804539383,1,0
355651.202729232,7173998.12694187,0.0028216665874953,1,0
356083.955267085,7173998.12694187,0.00277930695213586,1,0
356516.707804938,7173998.12694187,0.00272472365400665,1,0
356949.460342791,7173998.12694187,0.00267014035587743,1,0
357382.212880645,7173998.12694187,0.00261555705774822,1,0
357814.965418498,7173998.12694187,0.002560973759619,1,0
358247.717956351,7173998.12694187,0.00250639046148979,1,0
358680.470494204,7173998.12694187,0.00245180716336058,1,0
359113.223032058,7173998.12694187,0.00239722386523136,1,0
359545.975569911,7173998.12694187,0.00234264056710214,1,0
359978.728107764,7173998.12694187,0.00228805726897293,1,0
360411.480645617,7173998.12694187,0.00223347397084372,1,0
360844.233183471,7173998.12694187,0.00217950818883614,1,0
361276.985721324,7173998.12694187,0.00212584870271165,1,0
361709.738259177,7173998.12694187,0.00207218921658715,1,0
362142.49079703,7173998.12694187,0.00201852973046265,1,0
362575.243334884,7173998.12694187,0.00196487024433816,1,0
363007.995872737,7173998.12694187,0.00190625998554671,1,0
363440.74841059,7173998.12694187,0.00179429412416877,1,0
363873.500948443,7173998.12694187,0.00168232826279082,1,0
364306.253486297,7173998.12694187,0.00157036240141288,1,0
364739.00602415,7173998.12694187,0.00145839654003495,1,0
365171.758562003,7173998.12694187,0.00134643067865701,1,0
365604.511099856,7173998.12694187,0.00123446481727907,1,0
366037.26363771,7173998.12694187,0.00112249895590113,1,0
366470.016175563,7173998.12694187,0.00101053309452318,1,0
366902.768713416,7173998.12694187,0.000898567233145258,1,0
367335.521251269,7173998.12694187,0.000786601371767315,1,0
367768.273789123,7173998.12694187,0.000678532375506732,1,0
